sentence_id,1-gram_add1,1-gram_addk,1-gram_tokentype,2-gram_add1,2-gram_addk,2-gram_tokentype,3-gram_add1,3-gram_addk,3-gram_tokentype,4-gram_add1,4-gram_addk,4-gram_tokentype
96,2.56743442221738e-67,4.445121289954841e-67,1.3215585629642898e-84,3.2714141230255295e-75,5.424611310745824e-71,3.923094649135894e-83,1.6051416423177086e-79,1.8772154870527977e-75,7.214268657914498e-81,8.100438938345973e-80,1.2748480208349814e-75,8.100438938345973e-80
97,4.21843220020871e-222,2.2225811615732967e-222,2.840151167019627e-268,5.389854795267926e-241,2.1051167421327046e-228,6.4565023437204265e-261,1.7116829020861782e-249,3.500712570130317e-237,2.2331977505549593e-253,1.9839656063690527e-250,3.9134505133977124e-238,7.442779851075844e-251
98,3.8940232382096994e-84,1.4142278838197956e-83,1.4095561210563252e-108,1.3476886403129109e-92,6.756396012625121e-87,5.306303843851136e-105,3.5246937613929054e-99,1.1727400216582142e-93,2.2614873203810562e-101,1.0131312632810799e-101,2.2334876731827583e-96,1.7382821224151277e-102
99,2.1535124121241293e-130,4.0968996219806305e-130,1.2964694847621826e-160,3.3140105132806045e-143,2.5521529374088804e-135,2.38597758852198e-156,1.8287758331607717e-149,6.462892449689638e-142,2.84375910231669e-152,2.746003233709857e-150,9.559851072727638e-143,1.1588098083197267e-150
100,2.780563432869248e-122,2.600252829946245e-122,1.1383808342675296e-140,7.159915946557777e-129,2.6069562747161515e-122,2.5850896725089593e-137,1.9204714580805485e-131,6.591741717670022e-125,9.966839414685225e-133,9.626780095277549e-132,4.416867206602013e-125,9.626780095277549e-132
101,4.1757104680817996e-225,1.4615946790497265e-224,1.4505210170722082e-280,6.124241332558341e-244,6.761502339648274e-230,6.87561770574615e-272,1.0642170217766216e-258,1.1685184910907012e-245,9.300117335895544e-265,2.215308609831416e-260,2.2752119692144527e-247,1.3166269904480186e-261
102,7.785446523746109e-303,1.555417127294679e-301,0.0,0.0,1.77493e-319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,1.125409616664051e-103,6.498312366169182e-103,1.3635551037845909e-136,7.048352763981116e-120,6.16605778513416e-113,6.087163613737472e-135,3.070257271658533e-126,1.1269007205627525e-119,1.5710065147506432e-129,4.92409815984362e-128,1.506004661151317e-121,2.770346641918497e-128
105,2.4362810715528308e-233,7.202241300787064e-233,2.3595818421705685e-296,3.0198260415791622e-260,2.067795705373886e-245,5.510807330113785e-288,5.868935656910712e-274,3.443501097728252e-260,8.7973653350101e-281,2.1579680115972756e-276,7.25168467037424e-263,2.2412412972620729e-277
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
